video_id,view_count,like_count,dislike_count,comment_count
mrzmRPcSMtk,13806,116,0,6
40-CNPsz0dU,90218,3349,0,114
871H7UyywaI,7570,74,0,3
aWGNt_oECqs,52129,151,0,68
uHdKA1pr_1Q,32222,281,0,52
1bWYxxBOAN0,30389,129,0,59
VQ3IUOXScY0,55682,630,0,30
CgkI_U92fKY,21389,310,0,20
yWNaLGOrMbo,26170,113,0,3
QhWCZW57uXo,22496,175,0,86
XbasXS3d-Hg,154565,4313,0,469
1mSJq5cfiR0,10520,190,0,33
S6xJtFaO3Rk,15620,123,0,23
lDy-DnTKQBk,216827,3804,0,164
ddLQ656UXxY,215023,4484,0,219
Mxfn7H_VT3w,33394,346,0,43
QzZqEpegalE,760,15,0,8
DLWAQjMU9ig,24430,253,0,23
5Ro3cr5Daco,912760,25648,0,2538
yw_oNC4KhIQ,18614,441,0,9
7IVfkJoH3_Q,71281,4071,0,100
Q6Igan8qIjo,109841,2990,0,131
yirTrHp59-w,32777,147,0,11
EglV7Mz1doM,175548,2813,0,311
EEeKcqKIa-4,77905,424,0,31
PJRT2OxrTlU,1943,5,0,0
BBPl5cMc9Bw,348442,3287,0,137
RI02OPp4x1w,8200,100,0,1
m54AVcXLRiY,25359,203,0,8
5_KIa9NMRZE,601793,11085,0,376
hhW7aZtkLZM,11715,185,0,36
Dc99G3mhFIg,124135,6797,0,1252
XWz0YqSOvlw,930,48,0,4
y5VjEOQfNmk,2664,26,0,1
6kwuDv-J8tk,98210,2633,0,166
kmqJp41N1PI,59381,240,0,50
Y4yxFb1WkDk,243290,7140,0,344
EII3GrLROeE,28349,345,0,34
LoOPMDM58Y4,18647,23,0,22
71wSZRhRAac,144544,3747,0,117
OFzVVu37ayQ,5523,58,0,3
61gJhHPsx1U,45451,978,0,57
kNN35zduFnc,16022,354,0,46
nxSNZKW2AtM,106420,787,0,103
XgdtoBwD6qk,11743,698,0,112
wz62gU8Mpck,169018,5364,0,551
Gqf-Efcw54I,1164,16,0,0
cstsTtxpJsM,479,10,0,0
B6gi8v_7ho8,1516,15,0,0
GGXyCo3PrdA,650412,8299,0,652
3JPPQT408WU,1310558,54823,0,1858
Lphuh5CpPM8,257579,3921,0,182
hSd1ENYPJq4,103237,1461,0,174
JTBSWjq_Lcw,35448,442,0,63
SR45T_Qit0A,59007,438,0,38
bVxRR-90EgQ,17495,392,0,53
QxfKbN4FLVI,469,5,0,1
-QZXNwk1n4o,3929,35,0,0
gisYimeHIg0,93393,1272,0,103
FMIEz_IzrTg,8856,131,0,4
215DmIks_ik,395332,6535,0,139
__Li9pMZOjY,5,0,0,0
zSHZ-44forM,796,5,0,0
lBr3-W5b1Ao,573,0,0,0
Fqq2x8qOO7A,368839,1858,0,100
3WZsqhxg6L0,43417,783,0,92
X2xluHQqpJ8,8289,64,0,2
JRjsAmltbTk,190894,15761,0,644
1h26SFA-TCA,516521,2261,0,182
Vb1EbInAE4Y,360109,16199,0,810
k2j5L2Ne03k,20366,88,0,6
2S3Z8VjfSa4,15563,209,0,5
8BLtWSe04_s,318928,6928,0,284
5qJqGosLCWQ,595902,9408,0,520
8kb1o7KN33Y,40,2,0,0
Il531By__UM,2523,7,0,0
ckr5ziNd_NY,1082,6,0,3
FJS-MyfzNao,703,3,0,1
RE7ATZuz6a4,99799,2855,0,127
Gqk6j6qXpyA,4050,44,0,13
75tx-G5H4wY,4,0,0,0
YjxdBb9MGww,2838,40,0,0
LXHDNLyyS4U,8720,158,0,14
JhDSjZxOaek,878451,20093,0,1310
PY58ZM9H5bs,14907,261,0,49
M03Lum2KQpE,89,4,0,0
s-1nZrml_DY,58,3,0,2
HIPGrSqs-jQ,762368,26,0,2
lp76t9GwXT4,17742,261,0,19
T7WsYeP-hbM,400,7,0,0
KadQx3XmT1Q,0,0,0,0
oSxuYeY_aKM,77,4,0,0
EJqs4IKsLEk,1617,9,0,0
eWIcG9BspwY,1,0,0,0
S7s8TMpzy-8,3,0,0,0
0Pi1Ck4NRg8,805901,11431,0,1001
bWkjt-WaaME,0,0,0,0
yQrXQanfBwM,163,5,0,0
Idn5M6WO1s0,17,0,0,0
SIAp778uW1g,66,2,0,0
t_vq6Z8PKZ8,206487,457,0,29
eWjmadll34Q,4500834,233691,0,23496
HLKRlQmDcZ8,144,3,0,0
hpkgxeiO_QQ,571,15,0,0
T6Y-xztFc2o,412824,5140,0,446
Wcp6l9Qvm9Y,1893,39,0,4
ngo9XQ0qeeE,139774,7062,0,1048
q_5n5yixfnA,382,19,0,2
os65CNWP10I,94479,936,0,137
rre0PqpAV9Q,19,0,0,0
